fecha,valor_total_millones,valor_total,dow,is_weekend,is_sunday,is_holiday
2022-07-01,55871.59257788,55871592578.0,4,False,False,False
2022-07-02,10567.73330023,10567733300.0,5,True,False,False
2022-07-03,104.74930435,104749304.0,6,True,True,False
2022-07-04,0.0,0.0,0,False,False,True
2022-07-05,34097.17485507,34097174855.0,1,False,False,False
2022-07-06,40729.36827658,40729368277.0,2,False,False,False
2022-07-07,40490.19252906,40490192529.0,3,False,False,False
2022-07-08,43722.803898900005,43722803899.0,4,False,False,False
2022-07-09,10853.52659831,10853526598.0,5,True,False,False
2022-07-10,0.0,0.0,6,True,True,False
2022-07-11,30813.18583352,30813185834.0,0,False,False,False
2022-07-12,37771.82043825,37771820438.0,1,False,False,False
2022-07-13,32247.82858202,32247828582.0,2,False,False,False
2022-07-14,37938.32797335,37938327973.0,3,False,False,False
2022-07-15,44529.03165214,44529031652.0,4,False,False,False
2022-07-16,10496.60267999,10496602680.0,5,True,False,False
2022-07-17,0.0,0.0,6,True,True,False
2022-07-18,32280.21041949,32280210419.0,0,False,False,False
2022-07-19,36334.30567772,36334305678.0,1,False,False,False
2022-07-20,0.0,0.0,2,False,False,True
2022-07-21,37193.86979453,37193869795.0,3,False,False,False
2022-07-22,43294.090654470005,43294090654.0,4,False,False,False
2022-07-23,9038.21309161,9038213092.0,5,True,False,False
2022-07-24,0.0,0.0,6,True,True,False
2022-07-25,32091.23817489,32091238175.0,0,False,False,False
2022-07-26,31713.54660111,31713546601.0,1,False,False,False
2022-07-27,33915.7719935,33915771994.0,2,False,False,False
2022-07-28,32588.22727528,32588227275.0,3,False,False,False
2022-07-29,42650.68582594,42650685826.0,4,False,False,False
2022-07-30,11688.74170935,11688741709.0,5,True,False,False
2022-07-31,0.0,0.0,6,True,True,False
2022-08-01,42635.802547980005,42635802548.0,0,False,False,False
2022-08-02,34890.96086492,34890960865.0,1,False,False,False
2022-08-03,30357.74915806,30357749158.0,2,False,False,False
2022-08-04,36224.546341730005,36224546342.0,3,False,False,False
2022-08-05,44071.25017063,44071250171.0,4,False,False,False
2022-08-06,10840.5065084,10840506508.0,5,True,False,False
2022-08-07,0.0,0.0,6,True,True,False
2022-08-08,34572.2083948,34572208395.0,0,False,False,False
2022-08-09,35081.143837940006,35081143838.0,1,False,False,False
2022-08-10,35200.94652415,35200946524.0,2,False,False,False
