Periodo,Tienda_1,Tienda_2,Tienda_3,Tienda_4,Tienda_5,Tienda_6,Tienda_7,Tienda_8,Tienda_9,Tienda_10,Tienda_11,Tienda_12,Tienda_13,Tienda_14,Tienda_15,Tienda_16,Tienda_17,Tienda_18,Tienda_19,Tienda_20,Tienda_21,Tienda_22,Tienda_23,Tienda_24,Tienda_25,Tienda_26,Tienda_27,Tienda_28,Tienda_29,Tienda_30,Tienda_31,Tienda_32,Tienda_33,Tienda_34,Tienda_35,Tienda_36,Tienda_37,Tienda_38,Tienda_39,Tienda_40,Tienda_41,Tienda_42,Tienda_43,Tienda_44,Tienda_45,Tienda_46,Tienda_47,Tienda_48,Tienda_49,Tienda_50,Tienda_51,Tienda_52,Tienda_53,Tienda_54,Tienda_55,Tienda_56,Tienda_57,Tienda_58,Tienda_59,Tienda_60,Tienda_61,Tienda_62,Tienda_63,Tienda_64,Tienda_65,Tienda_66,Tienda_67,Tienda_68,Tienda_69,Tienda_70,Tienda_71,Tienda_72,Tienda_73,Tienda_74,Tienda_75,Tienda_76,Tienda_77,Tienda_78,Tienda_79,Tienda_80,Tienda_81,Tienda_82,Tienda_83,Tienda_84,Tienda_85,Tienda_86,Tienda_87,Tienda_88,Tienda_89,Tienda_90,Tienda_91,Tienda_92,Tienda_93,Tienda_94,Tienda_95,Tienda_96,Tienda_97,Tienda_98,Tienda_99,Tienda_100
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014455383080705266,0.0,0.0,0.0,0.0,0.0,0.0,0.019562566740442593,0.0,0.0,0.0,0.027933043502199346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064846951178644,0.0,0.0,0.0,0.023584592533665984,0.03692815097517689,0.0,0.0,0.0,0.029931711828508296,0.0,0.0,0.02977593643989185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051580269013843764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015052470308896579,0.047518493430074506,0.0,0.03493469964484287,0.008556151593088418,0.0,0.020010735280542667,0.0,0.0,0.0,0.0,0.03981661272373297,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0941779042393436,0.07076998457370431,0.03259214156696909,0.03330517545614536,0.04769665596290508,0.024887311908584796,0.015157980140681563,0.02250605135924627,0.08332331549959314,0.041252897225270764,0.05410883232763381,0.06896073947829645,0.029703187502874717,0.10512467733649478,0.08363285175326114,0.10356082527556609,0.016106275360214722,0.06685092733103203,0.06275672251507217,0.12572727694967953,0.0,0.016436388945718354,0.0030225326288407938,0.10715806850420756,0.11955608656378576,0.07152512377829871,0.09837226846893901,0.0,0.06828036751792602,0.02650611801650826,0.05941484127791414,0.0,0.004550867100091908,0.08436324587378984,0.018463757926681066,0.04949782204064956,0.05259418422547665,0.004834117519123542,0.03678406281519295,0.047954271367221565,0.08312101823593916,0.0,0.021444430222426356,0.053019455691556173,0.09012012205805335,0.03209135685014261,0.0,0.10582352311329522,0.04052381545789904,0.062271801798188677,0.0,0.05287329291093407,0.05756982311528808,0.0,0.09956875447897377,0.046163045067448394,0.09135733718483029,0.04443274431921241,0.07055907589248198,0.06830533893508857,0.07048323767084977,0.054115635415449254,0.041605717234798355,0.07441103032269226,0.05760932039445074,0.0,0.08123690674963625,0.08232072522075388,0.1569470406444315,0.07190932594487456,0.05868868517428552,0.1044321389435105,0.04226353101815872,0.038533033373902036,0.04555140087635844,0.01955738855754404,0.061524826574132045,0.027303272161595213,0.024236932083009304,0.03751048789019805,0.0092978605810459,0.023884648593921434,0.0,0.0,0.0023933121789198484,0.0,0.0,0.10081830413060953,0.0,0.022771683167712886,0.02618898085808575,0.12025877291743156,0.019286296564041995,0.0,0.03885776144952861,0.03537072053227581,0.05847528125648334,0.0014936205352344427,0.01433071367679926,0.011170990659506564
3,0.09406018666976068,0.19519438372325307,0.11218394907173755,0.09479495424888568,0.050777997179305236,0.02220638236622388,0.04263040193338562,0.0479756884319992,0.033988728005444606,0.09093223269312953,0.03950108524205641,0.08439699434589758,0.075065742925668,0.04290801589274778,0.12476572210058257,0.04926505234900417,0.09676372730960865,0.04903851046465947,0.12595605157103693,0.12526890366234258,0.09028858349558652,0.08915778333099149,0.007797819139059273,0.19613991737242917,0.1235625092132627,0.13857724058062693,0.07490659838531852,0.037213353354763196,0.10817924421845264,0.09570760204044794,0.09006865917809603,0.09462223580455133,0.07771754798799578,0.16238670452770976,0.13779910300009257,0.1403617943840286,0.08749364668289827,0.049352012996072656,0.09613324868566289,0.017062305123063164,0.1126699274232408,0.1265645390196207,0.08094546136502796,0.06742447837962716,0.0604518253452745,0.0,0.05501218217231843,0.17665935132085092,0.052946376000084214,0.1526464160576954,0.10553701401005915,0.08435017524490097,0.08700687771304155,0.07773654794801979,0.0708706590623085,0.08411393183275385,0.054823662009862585,0.07451161376014198,0.07684989693812425,0.11970906538305635,0.062314339185396556,0.1393834485349569,0.15860211382239855,0.16102081557644946,0.03847319637820635,0.11226789503412679,0.062180895671109196,0.12446722139459278,0.12807385783415132,0.05994091368742849,0.11517468588125437,0.09965255319251913,0.04363180995997875,0.005447557155230863,0.19018915653366453,0.07381301272330948,0.05474959210519811,0.02890785363823985,0.13275065882287018,0.15517023284542975,0.08519665431340359,0.17365853149584623,0.013052685426518341,0.036940359005046136,0.07964611460097548,0.021276945876540658,0.06632546948066215,0.050460506195818336,0.036367916361062146,0.08533583698177713,0.13240690668271243,0.07792348167974925,0.1082173053947044,0.11341776583087096,0.11262298821926858,0.06018056888938562,0.1295774639133422,0.08793728217840009,0.16411157741595658,0.0377417521463253
4,0.10470536186715639,0.2050549066491356,0.1834072184922272,0.16953324495229216,0.20015386527079268,0.11990673635537115,0.08645676337532825,0.06915615839639115,0.10050874234978069,0.15948633051533997,0.09087620093406044,0.15612236895483808,0.14603578690148106,0.16166619313075423,0.16530410136648968,0.10564852032417626,0.13043454208864583,0.08499446936368205,0.17721902659207703,0.17388268485855982,0.16029075915963722,0.13089286320724097,0.09456537960601523,0.2251045912043685,0.16460795860888136,0.10905828244341444,0.2044188230656546,0.12449748380532566,0.13491557269221127,0.12252674485402641,0.1108366547735739,0.1267091812130546,0.14999107050364063,0.14002955928475105,0.11390425325926462,0.15952029511989171,0.09407463641679085,0.04532555341751614,0.16053872091142488,0.11238436536736025,0.15022384898448912,0.12354624703334165,0.13085689309867327,0.11734309098095211,0.1795065000300938,0.17266486898473535,0.08159210298210619,0.1942418525817969,0.11402407099502349,0.09837735609776269,0.18399864162612597,0.1850113898943532,0.11983710708911001,0.12755820245819616,0.1275711498259456,0.14362526591161948,0.07516162542187181,0.1357207788086104,0.17484139860620213,0.22173912878225657,0.0714341760463239,0.14421357732677095,0.158562642414759,0.13236691113732252,0.05322771068940106,0.15776759798564755,0.1025411276433499,0.13029605706762282,0.1884171318916069,0.18007628958711858,0.1816258937434856,0.1700142898105158,0.07071755989579843,0.14434656358835268,0.19516336978784862,0.21107262303878754,0.11624330874650216,0.10498157977377537,0.10493432079039201,0.1854840682327539,0.16417933026492645,0.1246078496696566,0.06406550526567564,0.18167078382047896,0.12569453151423055,0.09236305413271782,0.08408776082830875,0.06745356783299612,0.17811872469185291,0.07069883092952313,0.11880479222283792,0.09195480641970767,0.044503759488944424,0.13843297536721183,0.1698288012069496,0.15970276598222452,0.14446386900199004,0.16221510393785685,0.12287180390008631,0.18007071595408589
5,0.19251553052123815,0.19870153731336884,0.15515037686920743,0.24495852301388138,0.1761989927045476,0.13395279400676463,0.12460782716455333,0.1640295012047451,0.27268139271267744,0.201286392437805,0.10958377571242606,0.18086134983297708,0.1958806998231617,0.14105159617271154,0.1451099582450118,0.14120966343389327,0.17073617462549373,0.1480020079734493,0.20163022270453618,0.274466131947338,0.13167926718396278,0.25032573076439624,0.0816741402923604,0.30538156644621134,0.20334684977933673,0.1697352563929597,0.15142143689539292,0.15707495753827175,0.15292327841764394,0.21103001706763158,0.1680944444229923,0.16286829897232913,0.1755196800031418,0.21272309686571025,0.08973836887377784,0.14347484954881318,0.18925705602297607,0.18307535967070554,0.14152513032875708,0.06760414390949726,0.11219013866574369,0.23704118512778496,0.1418332491009414,0.1151592436598925,0.2535401478131307,0.1251103884538478,0.0988269631347665,0.1988364296969649,0.09055867598202823,0.24549177165910868,0.16364083969037949,0.18207976248598953,0.17250831532436173,0.19105531238489223,0.18247061768082334,0.1633388885379823,0.18446042759450337,0.19581477353404542,0.14345955568769292,0.14411125049359605,0.13575476868754205,0.1846552594933312,0.16132147363453808,0.184181058697839,0.08940699034680945,0.11391184812498588,0.13735033504480323,0.173549129798927,0.20287283680555707,0.18843243651798963,0.1507157328333448,0.24100177681511625,0.14890986341479337,0.1852781101944404,0.20947112575870383,0.1919933830273154,0.11171831538844174,0.17111765316501631,0.11626375624697362,0.0826080606934155,0.2154821041353075,0.25826138497361956,0.18567744955366158,0.1937205650447116,0.19909384142336475,0.0845597928916969,0.1377269795403399,0.047115120128620236,0.05460564670328176,0.11986282206781093,0.11446966625374294,0.22118112450311522,0.31099945857485134,0.21205350548242888,0.19603559415818267,0.10330611067591806,0.232233978403169,0.1039576781128269,0.23083912122854788,0.06359222343543848
6,0.21103078664405558,0.22809466550691068,0.2478185314780877,0.34193617091508655,0.17508453103708102,0.16462885313133993,0.17704901686398794,0.2365548092422581,0.22142334484088047,0.2761312424150836,0.14290741536514204,0.24421545556570315,0.13159554239578714,0.2333786340040047,0.13884616941120312,0.22575985870502413,0.2406748892556177,0.1854921031848252,0.2803233925437773,0.21360495390685896,0.19518681901142532,0.13416243330829739,0.11840806679654821,0.2826034567479311,0.19088631220707925,0.18957502175182314,0.1819362174863954,0.24712752107021826,0.23690164918760037,0.26640432658348917,0.20195986473271366,0.2622434938572176,0.09135922033952716,0.2580671980598591,0.18203889341131033,0.22708073198336,0.15742986640793122,0.20555839700000608,0.21616048698966003,0.14579467491418507,0.1542520487909527,0.24205450812792081,0.32444576120932833,0.1711504319423078,0.25203751251216666,0.26436239582921467,0.11364807941823096,0.2683043112147425,0.11344723915646203,0.1145859223382472,0.21964948301614692,0.2791212410994572,0.23084079004804872,0.28563880759191784,0.1684880847475762,0.11719483152507458,0.22832579839247202,0.1962403591933037,0.20153707465854254,0.2599448789517605,0.2539403480903452,0.2669462132506265,0.22859905623318957,0.23877939301289272,0.1529174833996291,0.2645881342617751,0.27342331064846653,0.26016263028137804,0.21154918240409756,0.19088389790774885,0.24503375529886812,0.30530979725448454,0.2021336649648583,0.2857808422670245,0.21508970658942214,0.2070884151042043,0.18045528506051217,0.20067791423785467,0.16341740053998077,0.21604738526482506,0.22627646541625807,0.2658507391152603,0.20003658692747536,0.2913698318794993,0.2196543602435307,0.16952400805593343,0.24691451693504052,0.1806136462792789,0.11147424833578753,0.24379096227239233,0.2481465626185732,0.27759445585387915,0.2430630812160437,0.1956058484659663,0.2590230511600339,0.22122442125759884,0.2023914638242514,0.18349358457798703,0.2403034114752937,0.19258196913070844
7,0.2999508843423532,0.3096378369580172,0.28741257921883656,0.31153305793667335,0.275910795917629,0.26198509556248123,0.26458474462244563,0.2451886242445101,0.23512630651023647,0.13601077841890644,0.26781205653588014,0.31799595229025224,0.19229940235155304,0.25809923679625235,0.2696517624905018,0.21252526924014564,0.22694326438003035,0.29209876514530514,0.26882372300206175,0.3512250507664165,0.2558554653683222,0.2228217501326562,0.1951409319277893,0.36866588533787037,0.2627515880441537,0.2775787525732786,0.2732441543289859,0.2784912978263568,0.25330020547453785,0.21078202434048773,0.2834063709806457,0.24969372791877786,0.21528113884219227,0.21417067421262115,0.22448601864299705,0.20796379761403852,0.21511218848294494,0.21108322221224296,0.19054549648484406,0.19475422307915669,0.31624433026501086,0.31298362488255543,0.23914254867448598,0.28405504916565855,0.24440729168308126,0.22918882480804317,0.17883426212776063,0.1902750402988217,0.21269949525767445,0.2890440306462195,0.31579431659078055,0.24466110191091844,0.24791653095860122,0.2877287746173411,0.3520498760215834,0.24310085389941233,0.2854422048708859,0.22848506939234958,0.24194554249727973,0.2813794274279958,0.24767992587146423,0.23897779109187584,0.31539054195752264,0.24691614220825442,0.26811930391517197,0.2385562466077147,0.17526212908254932,0.26369485891419014,0.2905719873155352,0.21978445904628538,0.20119887188587315,0.3512346958832349,0.253050222077967,0.1884636054039097,0.2403128229516444,0.2502472600219539,0.24435695795215626,0.24531914218736112,0.233046368281374,0.2390232330555193,0.27650581984007,0.228459793257827,0.2124037453982335,0.27364027822779136,0.18206382226290094,0.2272090296299868,0.2000039946007345,0.19840711465918504,0.22542921039275027,0.26464041339015343,0.2517479898543326,0.23428021626677073,0.24888034143979612,0.3095100434781087,0.24931345998513402,0.24702781748000324,0.290550447189909,0.3291920833980097,0.3149075866020713,0.24717968753050706
8,0.3933857101747199,0.38490727333705904,0.33838744492715045,0.26493213464707643,0.37704860067751217,0.2860709596294018,0.23928120302829708,0.25457500397647287,0.29351890202899156,0.2564346346654644,0.3150344851388915,0.2959797746878758,0.29789421387430903,0.3541699275168032,0.40474457574155825,0.22644625995992787,0.2849752775595762,0.33806652648643143,0.29787110194543287,0.3404073787815238,0.3208477294021409,0.2722152966085734,0.2722273588564838,0.318142813614685,0.38583660188421093,0.2997123186210256,0.2940017602750863,0.32863332215641267,0.23743696194542058,0.2939164950391128,0.19330668251540928,0.2729729697618464,0.27447179049448944,0.3784612679234891,0.20974106439946866,0.29761533299982573,0.2957934582929301,0.12879971438500765,0.19927697834184302,0.2464571621555902,0.25575430081848227,0.2250717027329087,0.2613763413579453,0.25753448997124206,0.278533876646001,0.3127930921588441,0.21623593263695212,0.34017967759038986,0.36358073698259896,0.12785942457057495,0.27674720582258217,0.3573466180815723,0.37348941739736036,0.2822758340631058,0.27012429420833994,0.32393721821299176,0.36732893731637944,0.27144963009004064,0.2795042633393031,0.3187163122733321,0.3291459648032448,0.363057129292265,0.24170338437998096,0.33647448958149523,0.2239328393881824,0.18963407239142174,0.32122051184773465,0.2796112580944611,0.33486599851723214,0.2639436430537159,0.3007373063005626,0.3134590858682805,0.33185124612474143,0.3062969755213308,0.41876395169335845,0.3377693819520202,0.19504993473968602,0.1759418970155924,0.28395138782197604,0.3629313386293504,0.23101502520326267,0.25684963072781963,0.21534871826451898,0.27883998705103713,0.30538670604459506,0.2272720804518085,0.3154728641314647,0.25121438198219953,0.1641069185695007,0.34891163097346545,0.27900312397900884,0.3328253788857563,0.385181965933952,0.32592349813801763,0.24223574684457938,0.2243788666604697,0.3013900539821797,0.38293400503187625,0.3155834990123071,0.3498397402584733
9,0.4673341803639013,0.5094588573147352,0.3108335278641953,0.32082876039895436,0.3255180500860902,0.36487738203601155,0.21686371833441934,0.2460067467208728,0.30855390985040065,0.37532537875760413,0.30214921417909046,0.364154708649023,0.33590953889556185,0.42945209870778245,0.2930768353067457,0.3506346224578423,0.2657775530923891,0.33584875831806826,0.26970493850083344,0.3990268034869317,0.46545412239833894,0.29236629905990535,0.3418299110661351,0.4401267811858712,0.3444281700695786,0.442660411912005,0.4081346326717325,0.4610242374731327,0.3834186700493917,0.29639724179097143,0.26247541232147775,0.37522744532319,0.25867835097754033,0.44907074845536965,0.26033431576524513,0.2980273279081677,0.39765023617145084,0.356073293154212,0.33178518511493665,0.26311880190734166,0.33791434941067733,0.24559959156034974,0.4031368270387098,0.3648706882144648,0.38822651478862935,0.3732804274085548,0.3159869279056373,0.3639344745703181,0.32295875358732345,0.3407706776996317,0.3644032065268065,0.27930124803724016,0.39595297254544337,0.4236125673074274,0.1873848217900186,0.3264863737350091,0.26328128460079303,0.48564355887827854,0.3084940725385845,0.3862459547422477,0.40117820235087565,0.40725014763455575,0.26881358051693904,0.32738307567698016,0.3853804737243385,0.3792731453438885,0.32060758040539417,0.3247065724406838,0.3711003267684071,0.3948774824140402,0.3497515028238918,0.3799595599325713,0.2836569588447008,0.31962538435118576,0.4393152373055124,0.4071095589664737,0.19290037290518347,0.2853162494725699,0.27595388085962663,0.25037525657452747,0.3679381044987822,0.4422186190964336,0.361241489621428,0.36174734715470985,0.34099061803399505,0.41309906079290104,0.35494905759405987,0.33081304112839294,0.3323957911530249,0.3205698107178235,0.25634056835799196,0.29176276188847455,0.33936757323145184,0.32532827440290507,0.3081867904076536,0.2721613560996407,0.4394528348447107,0.27223456059977963,0.43874593320870375,0.34395225660038803
10,0.40965143824431877,0.5232641577287116,0.3955475517743078,0.3914726214624297,0.4423537434408129,0.4229043427611404,0.2578709141212297,0.40925468635037504,0.3281698148876136,0.31806707487343333,0.3774585897883119,0.318330276539399,0.3507526717531808,0.4286988426994206,0.32836268683225556,0.4163300809396095,0.4386928953696088,0.5052666373355984,0.40351690829209014,0.4082153943131403,0.34980679661145764,0.4088882577504002,0.43275597610760436,0.3976741109945569,0.33127331382114966,0.4490213409432391,0.38563773135260687,0.4733923740058101,0.3679715735740328,0.41381727397303686,0.34959325912467115,0.4332387931889539,0.31262183284562767,0.5255420516223416,0.356555827743178,0.341199781393662,0.3566006002378386,0.27551336067815224,0.2736922640789803,0.3566576513984615,0.33911606178341874,0.35704465748165526,0.3553819035755128,0.34582631992697416,0.4853209614420801,0.4206944942727393,0.3007022816687162,0.4289998026625135,0.3239943156347604,0.36997053168729027,0.3735823840124654,0.2839578651453235,0.4012246404236839,0.3790294468847541,0.36272658943677544,0.3225236012606726,0.4010459077715674,0.37472409570459914,0.38812427712373393,0.40676229790982804,0.31813439103981017,0.2801695690820445,0.411957324809824,0.3933937975640656,0.46323286355013094,0.3772825753938159,0.3302526185441388,0.3590460740975999,0.4586736240766091,0.4071194933834181,0.33248374930478436,0.42639235389387986,0.35472411643778223,0.23248705531806524,0.42550882862516404,0.4436273862937496,0.3227913456767988,0.22806332908183277,0.3452266896038504,0.41552029190248246,0.4378636111937142,0.46012833528297437,0.21495200646444373,0.4972524395302883,0.3840778188334825,0.3955779983695788,0.32200055940493405,0.4393405446791849,0.3795154411721489,0.4826564310872037,0.4013325373106765,0.47768982954627104,0.4805058759113496,0.3468279355220856,0.4159584903184807,0.3298975780437069,0.5172689068079227,0.4156595840512142,0.381988578669577,0.38558766903287833
