Periodo,Tienda_1,Tienda_2,Tienda_3,Tienda_4,Tienda_5,Tienda_6,Tienda_7,Tienda_8,Tienda_9,Tienda_10,Tienda_11,Tienda_12,Tienda_13,Tienda_14,Tienda_15,Tienda_16,Tienda_17,Tienda_18,Tienda_19,Tienda_20,Tienda_21,Tienda_22,Tienda_23,Tienda_24,Tienda_25,Tienda_26,Tienda_27,Tienda_28,Tienda_29,Tienda_30,Tienda_31,Tienda_32,Tienda_33,Tienda_34,Tienda_35,Tienda_36,Tienda_37,Tienda_38,Tienda_39,Tienda_40,Tienda_41,Tienda_42,Tienda_43,Tienda_44,Tienda_45,Tienda_46,Tienda_47,Tienda_48,Tienda_49,Tienda_50,Tienda_51,Tienda_52,Tienda_53,Tienda_54,Tienda_55,Tienda_56,Tienda_57,Tienda_58,Tienda_59,Tienda_60,Tienda_61,Tienda_62,Tienda_63,Tienda_64,Tienda_65,Tienda_66,Tienda_67,Tienda_68,Tienda_69,Tienda_70,Tienda_71,Tienda_72,Tienda_73,Tienda_74,Tienda_75,Tienda_76,Tienda_77,Tienda_78,Tienda_79,Tienda_80,Tienda_81,Tienda_82,Tienda_83,Tienda_84,Tienda_85,Tienda_86,Tienda_87,Tienda_88,Tienda_89,Tienda_90,Tienda_91,Tienda_92,Tienda_93,Tienda_94,Tienda_95,Tienda_96,Tienda_97,Tienda_98,Tienda_99,Tienda_100
1,0.3170170628786571,0.41331365635287703,0.43070358438958,0.5615879606661007,0.56150029699497,0.4872262486107952,0.4927323099488082,0.34276396085190447,0.4288318491851142,0.3316450330483707,0.5768827438144212,0.5647601300218257,0.571565801065113,0.5617587830954143,0.4829363873540479,0.3453102716143774,0.32650298869310335,0.5000204183771813,0.4424979291298399,0.36438661874624495,0.3504235341247178,0.46983459652473075,0.4936985586513858,0.5320723582308545,0.27933962784185745,0.2717615888092163,0.5317819551774475,0.47425895321275746,0.4098778699854691,0.3309767994121825,0.32160781231019103,0.3672198509021407,0.3281298570624664,0.5312807648611835,0.5726501107661756,0.4451133989059241,0.4675280032930807,0.6156675708145112,0.45866073513620986,0.4903680090244061,0.5769831851063747,0.5431934033163732,0.44661721971830687,0.45836498598318826,0.44472294493838604,0.4986227998447546,0.6415401540985791,0.5125104160519866,0.47271375372284347,0.44615667316743035,0.5003722309321413,0.42937262896872747,0.4293613639565615,0.5931032477339706,0.28626463756140513,0.4537857425461249,0.3368674816209195,0.44463182513013716,0.47483760266256353,0.3981482609553989,0.30735536591766427,0.305846804367243,0.5618006566371359,0.40259010570567794,0.37569654896019206,0.5729079469041459,0.5769720203392289,0.27637983422029655,0.5424853952149621,0.5419007421064787,0.5992282058622025,0.451786911831572,0.35835693958049725,0.33189227885979194,0.5242011358366846,0.3390661331702595,0.4681072684154718,0.35580765253496555,0.582825937101653,0.4757489547378117,0.5810608760244993,0.39891789768995406,0.49192045337831064,0.607163251554595,0.3417489288853308,0.5205434087484531,0.34095844163346417,0.4535375295588914,0.5906349706267688,0.6087530848145851,0.31996988019597145,0.4169501093356409,0.5890291522562605,0.48440649513146755,0.5434032659960664,0.3333385773053288,0.3231277993496678,0.47811917230334594,0.580966697189417,0.5710377442238631
2,0.4454260490731972,0.490649886707413,0.4701739926309662,0.5895661676614139,0.6025995432717275,0.5132954069996897,0.5093574207362684,0.3734871337539017,0.5402937112068463,0.387423062261373,0.6234327396948353,0.6289032396781704,0.5975569326392738,0.6517777347265774,0.5735376626054841,0.4814723009839488,0.3498703062994015,0.5693444456601814,0.516501111057143,0.5194477946331252,0.3297274743724783,0.4887462917927857,0.49729598091544247,0.620864238180865,0.44584243138192126,0.373567161309446,0.6255980488853389,0.45417812940173985,0.49669624503459764,0.3688294386832763,0.40450915830590795,0.32582617963749233,0.335035276255677,0.6086167642904664,0.5894417180599855,0.5056367097540349,0.5209941468730629,0.6197770193244606,0.5037497737346457,0.5498439033695042,0.6515457046253147,0.4758729696071149,0.46978718087051624,0.5206289440226985,0.5437635019275415,0.5073045503539488,0.6080071099635699,0.6145000499958688,0.5173591160547448,0.5209522104139792,0.46757419394166105,0.49377593530268865,0.49412933344336235,0.5686368892690356,0.45400437994031334,0.5098064104709512,0.4566459205178088,0.4937488911167032,0.5522083844104373,0.48938218379443693,0.41129567021986985,0.3868272574517288,0.5993233480253171,0.48865812684988497,0.45231254559727146,0.5682828398624915,0.6480481333722716,0.40280612273728345,0.6819079474403149,0.6083043108091016,0.6466883263137525,0.568290328078354,0.41845007721322086,0.394073756902583,0.5657129011820125,0.3640352085100338,0.5396491439739024,0.39393048481802756,0.605850748932021,0.5158865596764561,0.5887830123937638,0.42624825024723373,0.4730495090574029,0.5673575026763439,0.3450491093678667,0.47910858865471473,0.3284562202744943,0.562146801725269,0.5714739119357651,0.6263630511914284,0.3581292098121893,0.5572518831355214,0.6034506082212946,0.4360654154302632,0.5791737844414383,0.3841732395225195,0.3950286542824037,0.47974869117737545,0.5922285332521804,0.580985339124432
3,0.4452655443997336,0.6266187448655315,0.5665629067631646,0.6412210151617556,0.6052546728391766,0.510487165710876,0.5394888796552406,0.40825591887070206,0.47429867786952423,0.45459447594116903,0.6108656496763637,0.6432611104920041,0.6372504553098582,0.5985011989115866,0.6180977897575991,0.4100840843663433,0.46688980676515657,0.5508730717822101,0.5910262178246102,0.518882476568072,0.45899543693958006,0.5724194668815625,0.5029795331276473,0.6945951830618553,0.45142207707355586,0.46900606134647665,0.6032192063746722,0.49237734947592704,0.5474276011673227,0.46765412550279184,0.4472803365027151,0.4660458346461293,0.4460573279646007,0.6801410648485237,0.6979695843102457,0.6167403546480698,0.5564722077668915,0.6576213618564981,0.5764986091730762,0.5115297497380139,0.6780521306147997,0.6072651091626169,0.5340759759464849,0.5375456346320118,0.511158523547016,0.4745530665571276,0.6579615724544633,0.6827695611258822,0.5310451352567627,0.6295024310884363,0.5832176596144114,0.5321169423363795,0.5272470008391874,0.6325116309337439,0.4056577760569304,0.5558613018202011,0.40874668533355163,0.5269988250959697,0.5591065153167857,0.558040998544623,0.39924914933845196,0.5144248747933836,0.7048381660468663,0.5888359203327732,0.4268629620361965,0.6689513787828083,0.6313755734291597,0.4675337483864133,0.6562587040920538,0.5972522633151801,0.692367189103367,0.5629582715498926,0.42039558845636377,0.34068310392533846,0.6975237446996083,0.43330380044987693,0.5317708124409947,0.3961709192303056,0.7089375641543475,0.6417868245308844,0.6518191087468046,0.5976291691452442,0.48941336793686996,0.5983020581090855,0.45157436462710016,0.504344426761278,0.4253707842771554,0.5078974882820106,0.6062976088211766,0.6747456251516819,0.512896776547857,0.5078607550632308,0.6699493589544251,0.573765156380217,0.6470783756058385,0.4198298572536329,0.4824554714051496,0.5740575031311761,0.709934292421758,0.6046461924477292
4,0.45977994845237546,0.6373941558961506,0.652817181111372,0.704005352404752,0.7339688450711067,0.6128271055223578,0.58755716498226,0.43716953105768525,0.5632827109228925,0.5472864497949685,0.6550638206762065,0.709975716563356,0.6993512568019813,0.7001946060492266,0.6620138918768163,0.4842172076005885,0.5157401216522425,0.588159194431779,0.6514758894228317,0.5788385199937954,0.5592189455274462,0.6204398146120881,0.6062503963908917,0.7185955021939212,0.5085850588451793,0.42699013359940674,0.7267329892327381,0.5819738358844365,0.5814227988683613,0.5059537866546087,0.4762578571266443,0.513595127655383,0.5557241142195519,0.6596462136388332,0.6762387462660154,0.6401663529570084,0.5631623037764091,0.6541984975487908,0.6554453214415872,0.6297541460682665,0.7117393383614035,0.6041316892888327,0.5880035423273493,0.5961680848223948,0.6419976860300801,0.650769693521241,0.6820977838293247,0.6997150644947493,0.5983348460758089,0.5643190996550038,0.6691929416039314,0.6547292232460984,0.5641821029362653,0.6734492001357338,0.5011789640362236,0.6280806426224477,0.4354117522334767,0.5946609658152024,0.666558023047134,0.6943202861749922,0.4126980011482674,0.5216528416280086,0.7048025682120986,0.5556931881002539,0.4464853393027251,0.7097501184050814,0.6666877058634938,0.4764855410065641,0.7098641320388271,0.7081894412451466,0.7461046739341621,0.6414530986403063,0.4589079337234786,0.5648270334955537,0.7020568297291069,0.6085442493979144,0.6032765129613643,0.5023906384437395,0.6825123570854752,0.6742237459730464,0.7174164565657676,0.5415022212350336,0.5533669956858162,0.7195412332046396,0.5150713409460801,0.5886571627144414,0.45132498761901507,0.5262037281281133,0.7420295307043513,0.6634264274209094,0.4930774650609184,0.524230618999311,0.622307133107436,0.6041359527693781,0.699739195795293,0.5628627725065368,0.5007597057713612,0.6550935558792303,0.6775258877131268,0.7313879396868109
5,0.5795067020419054,0.6304513024048292,0.6185969973231699,0.7673667973869258,0.7133274146132955,0.6275401811248462,0.629400844434845,0.5666818150369897,0.7935986085033102,0.6038043002209579,0.6711580051448799,0.7329864205560546,0.7429669694228779,0.6825421912834526,0.6401371403245225,0.5309730865696531,0.5742105641647993,0.6534976497083838,0.6802617487630725,0.7028894654905633,0.5182553028330051,0.7578591713631503,0.5909072266015185,0.7851135315679183,0.5625357540485805,0.5133549484253436,0.6761902110229169,0.6154143612980533,0.6043195670943745,0.6323428125891702,0.5561494755940471,0.5671789282759372,0.5944608529852857,0.7262845621595154,0.6542614195419508,0.6205468333507255,0.659922753394511,0.7712986164047406,0.6321389095320612,0.5742149074510692,0.6776217429781336,0.7219557090376532,0.5998631132988087,0.5936034606445421,0.7233594678932649,0.6022370058618629,0.6977481023775878,0.7041431842956865,0.5724828612422298,0.7410202939497061,0.646885632728348,0.6511582994839653,0.6234389674394288,0.7256236483211014,0.5936660363402264,0.6520038977962177,0.5787132132978605,0.6610903693901978,0.6321466069595157,0.5906344547544603,0.5075503687884586,0.5821711321406218,0.707290658295191,0.6156243720721498,0.4946010183210626,0.6704254810242374,0.6971431141113884,0.5429126216440348,0.7227057330339398,0.7159057974968889,0.7211083742962409,0.7206460064029594,0.5700870222659808,0.6308790372879088,0.7150957307739398,0.5841856301543283,0.5980147913157938,0.5947346776062327,0.6932751928535779,0.5641426251844792,0.760024862283985,0.6944372006223275,0.7058291618499658,0.7296352099035326,0.616282947241023,0.5794019886624763,0.529702442548837,0.5042935797556063,0.6237609462037744,0.7014462885141916,0.48676085802382374,0.6749945192860535,0.8215810567700995,0.6935181395123332,0.7238638631895723,0.48180971846825743,0.6086813055975242,0.5915355284587246,0.7623723409541819,0.6276656384584595
6,0.6047517453146989,0.6625716108450374,0.7308218993251693,0.8488334364223877,0.7123671054760504,0.659672982248691,0.6869177814203634,0.6656866356978869,0.725030556150455,0.7050019980621189,0.699826435451444,0.7919145785476442,0.6867156332725464,0.7616024401551841,0.6333514425472535,0.6421398925609816,0.675679098707262,0.6923746628933493,0.7730573048511219,0.6278285394785051,0.6091803291710471,0.6242017792147103,0.6346279936799102,0.7662394401434498,0.5451822716870591,0.5415939582156648,0.7052916799628667,0.7078526229029094,0.7110979274716344,0.7114213016264636,0.603401792792952,0.7144419412949647,0.4667570021172148,0.7678516136373382,0.7382028450741426,0.7227756709581887,0.6275679005763736,0.7904112846190591,0.7236251734121221,0.6711917069776422,0.7153527773335185,0.7271602571707486,0.7971695825112115,0.6593573042539521,0.7217080959936221,0.7443534605984565,0.7112065922650885,0.7710943081896612,0.5976993465270581,0.5837874366060085,0.7082577843149312,0.7693614930087487,0.689064945400616,0.8033412275237913,0.5701101880793871,0.5960062726212015,0.6362250213005823,0.6615608224137282,0.6958308741911161,0.7453508573911684,0.6818364188224558,0.7053140772222161,0.7679658764375831,0.6787759044711505,0.5790651239351743,0.8055341117749905,0.8161966155519974,0.6759316563050641,0.7304132899421218,0.7181695620737046,0.7973810782028372,0.7923873702115367,0.6457642114367252,0.7930621793979858,0.7202160389210288,0.6034575790689374,0.677943041493267,0.6360088834396445,0.7380706225409721,0.7069276219727071,0.7689898848398764,0.7031214282155223,0.7238308902252314,0.8114349874888803,0.6446342101973445,0.6801750597215118,0.6892469231833378,0.6481085138148379,0.6782148479859484,0.7972833140899606,0.6815382255777671,0.7408100125133698,0.7707811807415079,0.6735491505818166,0.7818469766902889,0.6512814566018275,0.5719871287511511,0.6783080772357685,0.769809882978472,0.7425290176890186
7,0.7259918566760625,0.751680595807645,0.7787719005561448,0.8232931239465685,0.799247063993772,0.7616524693627477,0.7829260330699057,0.6774727187776746,0.7433610512072234,0.5155451632745128,0.8072822847430399,0.8605407349332173,0.7398332325543421,0.7827708546838249,0.7750559676777478,0.6247390215789678,0.655756973166617,0.802925158411566,0.7594968112005006,0.7975572933530536,0.696040838026449,0.7262131144291271,0.7259555495097552,0.8375513341914859,0.645267263158145,0.6668544223038472,0.792370631098404,0.7400472977349227,0.7319486648319716,0.6319886611726337,0.717043853419175,0.6958445805861986,0.6547943092208426,0.7276115599500228,0.7768057914771437,0.6994004977970911,0.6862065382795046,0.7951078987676276,0.692226920821786,0.7319144086436712,0.8606656344864723,0.8007948508678716,0.7050024276793716,0.7919480345352752,0.713322606675531,0.7084563607420782,0.770399676242155,0.6958919661819895,0.7070462302256304,0.7933315249591892,0.8136096541341843,0.7273866739974015,0.7082757229644868,0.8050585163327302,0.8793498460427195,0.7487981748638494,0.7111102381227794,0.697204930893416,0.7401403369550698,0.7739805073169065,0.6726042919793399,0.6634611916174171,0.8462399779409235,0.6881873304217725,0.7322747475302906,0.7821918010041732,0.7303130496262502,0.6813563723172511,0.8006125182902334,0.7448573438306682,0.7619328680311102,0.843620713080543,0.7181608049222019,0.636019530601814,0.7432022932965755,0.6585588236527005,0.7522487451343997,0.6983402419653377,0.8042173557453868,0.7315126261574779,0.8107067853268018,0.6603363008264644,0.7393353193402041,0.7965831243627505,0.5927999526924639,0.7485932375024436,0.6207014178930678,0.667277013689161,0.7873311640779254,0.8134067657669974,0.6867857779633627,0.6902767790748683,0.7751310755943333,0.811839461904594,0.7729088109992495,0.6883659974673529,0.6803868856704705,0.8372630782847656,0.8284378068086492,0.7911474439048114
8,0.8533876758684951,0.8339337502421109,0.8405045349527771,0.7841457463960179,0.8863954701409412,0.7868821208253207,0.7551733787971371,0.6902861333934027,0.8214730104563014,0.6783702209906578,0.8479078861905633,0.8400626178937787,0.8322316877561967,0.8650368181118375,0.9214049310487422,0.6430423746296675,0.7399510188395859,0.8505934626307573,0.7937496909289048,0.784215710054408,0.7890915563898125,0.7830452873745349,0.81770391505055,0.7956875848558519,0.8166847163984121,0.6983583225270328,0.8121668352004343,0.7915176988054538,0.7117785767631721,0.7507106531440148,0.5913280341573737,0.7303418341370461,0.7446093385303468,0.8782171599345017,0.763396198359334,0.8090216391012146,0.7682254234357532,0.7251592809906741,0.702929765813372,0.7960396357437315,0.8064039194951378,0.7095296700111063,0.7290252675216391,0.7608033356067935,0.7508271717568792,0.7937803880267862,0.8043627053889667,0.8403656959735151,0.873273117545625,0.5997304268831759,0.7708233079778317,0.8646453809511038,0.8495494048541792,0.8005779318662358,0.7413328942438739,0.8468962772495292,0.8184717843425955,0.7446990300134615,0.7813249408666288,0.8238505544338177,0.7927407266364357,0.8491376776967454,0.7797841959758953,0.7917755982085937,0.67351012412518,0.7383241948852346,0.8580155302673521,0.7058004144405481,0.8399607217649961,0.7856354678161036,0.8424271928375167,0.8014786324713454,0.8302054133485018,0.8261694480912326,0.905827838052975,0.7702990209668129,0.6949138916249331,0.6014706409046829,0.8525765495628758,0.8640988672316147,0.7729253928581141,0.6928217805289472,0.743027365751577,0.8009388664900283,0.7628520577588704,0.7486680198674132,0.7894241609671084,0.7241650849427482,0.7286126804130773,0.8785760067602105,0.7264985736782308,0.8052460306265549,0.8770515178667985,0.8317669259857821,0.7663934210487989,0.6558150132872556,0.6937152011356063,0.8958947545125265,0.8289689746854582,0.8825646376108843
9,0.9542143842596452,0.9700415938080249,0.8071356213792567,0.831102033045366,0.841992634202487,0.8694308956920579,0.7305861209202341,0.6785895436660162,0.8415853878531627,0.8391223582505987,0.8368226477129548,0.9034748187774451,0.8654961754266275,0.9295014357338036,0.800432855174911,0.8063255409891931,0.7120985628924411,0.8482936497912186,0.7605359469019721,0.8565118509170703,0.9961274082448801,0.8062310138114048,0.9005449631719055,0.8967643022285754,0.759016217993227,0.9018240658428084,0.921013570348109,0.927415951827555,0.8973940786298782,0.7542533375862465,0.6878389509317767,0.8818716216588397,0.7206446043448664,0.9429450481227394,0.8094075256321803,0.8095254046181083,0.8717708855594788,0.9183629145244578,0.865355207500412,0.8167044461399252,0.880104414951579,0.7308405621021117,0.8821925427568963,0.886854734218208,0.8713776074548849,0.8555119623442802,0.8949427761080341,0.8632598784493746,0.8285196029313182,0.8554611284811982,0.866873436016165,0.7695807538362482,0.8748216529811627,0.9167118169179814,0.6019448115000368,0.8499897775760137,0.6820550957963357,0.9814743518038981,0.8131133985823724,0.9140483967461405,0.8989653119092257,0.9152695935664427,0.8042339012262433,0.7812599528698418,0.8882231484182918,0.9083700338183069,0.8574792618861401,0.7750567676494291,0.8721491752854115,0.9065443218933431,0.8820637882719697,0.8756658749131688,0.761679526635767,0.8476777511868382,0.9245565737112306,0.8588261829063001,0.6924143529210923,0.7541871384038693,0.8449790082449612,0.7436597098369524,0.8866438855375011,0.9049329106290497,0.9259298600665434,0.8703895017737817,0.8119469215565273,0.9690708736853495,0.8471066486730955,0.8099149148951337,0.8897558327964469,0.856658500790865,0.693477512852137,0.7573396878141324,0.8427935023514851,0.8310442688823572,0.8271046646269617,0.7244878215869981,0.8634763679928641,0.7751232266770651,0.9257565579344528,0.8773219242115574
10,0.8755655494154061,0.9851277902988116,0.9097277477859301,0.890446820776168,0.9426675942843007,0.9302134356275075,0.775562375454906,0.9014404825123572,0.8678256459079434,0.7617034237864804,0.9016115365793561,0.8608517031324568,0.8784843376916297,0.9288564176666797,0.8386587805083655,0.8927020923872665,0.9629677198903687,1.023979016264623,0.9183279912862993,0.8678442660685219,0.8305528294662159,0.9403010812738547,1.0087652839856787,0.8615877406518188,0.7406957751911672,0.9108779197538532,0.8995586274547398,0.940111748543732,0.8777531208558051,0.9219375725473891,0.809394215658505,0.9678380027653426,0.802497654949876,1.013046483846597,0.8969148385403122,0.8623143903684777,0.8300406874196367,0.8498794957482846,0.7941462719337771,0.9327171926770063,0.8811823938328571,0.8465365206046291,0.8305950085723852,0.8644897790809914,0.9780828344064975,0.9039013479939816,0.8810633723654744,0.9259679493898694,0.829660488662402,0.8905334839207549,0.8769316312988712,0.7752528336629585,0.8807524550195619,0.8800786581943777,0.8973365042779187,0.8451807975678256,0.862678043083306,0.8588612052299107,0.9004310271307443,0.9414516202521248,0.7765021660135184,0.7251019506954692,0.9333300663263203,0.857611700486881,0.9917608814837224,0.9065851266689248,0.8659179364785905,0.8277945895328582,0.9499441599335171,0.9178490199388584,0.8680997735813903,0.9274658205726325,0.8627276023531649,0.7070609967029233,0.9119745589680182,0.9054487868954147,0.8434532802554681,0.6742464093640117,0.9107873944232988,0.920370986026566,0.9447189979444293,0.9254263608740555,0.7425300170681358,0.983900711609671,0.8713606246154191,0.9482897570093203,0.7989624084356011,0.9268291327281906,0.9348747335693678,0.9820045243508635,0.9047417985817471,0.9742544022833175,0.9483306027646721,0.8571468617604222,0.9263139200174597,0.80746609559601,0.9591585431177919,0.9315978982612736,0.8811536137551541,0.9143976168712821
