Periodo,Tienda_1,Tienda_2,Tienda_3,Tienda_4,Tienda_5,Tienda_6,Tienda_7,Tienda_8,Tienda_9,Tienda_10,Tienda_11,Tienda_12,Tienda_13,Tienda_14,Tienda_15,Tienda_16,Tienda_17,Tienda_18,Tienda_19,Tienda_20,Tienda_21,Tienda_22,Tienda_23,Tienda_24,Tienda_25,Tienda_26,Tienda_27,Tienda_28,Tienda_29,Tienda_30,Tienda_31,Tienda_32,Tienda_33,Tienda_34,Tienda_35,Tienda_36,Tienda_37,Tienda_38,Tienda_39,Tienda_40,Tienda_41,Tienda_42,Tienda_43,Tienda_44,Tienda_45,Tienda_46,Tienda_47,Tienda_48,Tienda_49,Tienda_50,Tienda_51,Tienda_52,Tienda_53,Tienda_54,Tienda_55,Tienda_56,Tienda_57,Tienda_58,Tienda_59,Tienda_60,Tienda_61,Tienda_62,Tienda_63,Tienda_64,Tienda_65,Tienda_66,Tienda_67,Tienda_68,Tienda_69,Tienda_70,Tienda_71,Tienda_72,Tienda_73,Tienda_74,Tienda_75,Tienda_76,Tienda_77,Tienda_78,Tienda_79,Tienda_80,Tienda_81,Tienda_82,Tienda_83,Tienda_84,Tienda_85,Tienda_86,Tienda_87,Tienda_88,Tienda_89,Tienda_90,Tienda_91,Tienda_92,Tienda_93,Tienda_94,Tienda_95,Tienda_96,Tienda_97,Tienda_98,Tienda_99,Tienda_100
1,-1.820059419291553,-1.8694387448023506,-1.8120633973468876,-1.6963013682699597,-1.7063845266766047,-1.537783415380567,-1.4783504302743773,-1.5274367663873152,-1.584385057171156,-1.5858804131674782,-1.5713072853105337,-1.7012336485904294,-1.6060038669923107,-1.6861025143518036,-1.654755932457043,-1.6009166280397538,-1.6688098032323375,-1.5573697065541383,-1.7757646713884976,-1.8244707358663093,-1.6659086591846362,-1.702627774281993,-1.492844322792961,-1.933938458643323,-1.7504586348358848,-1.727786513204506,-1.7354816751902837,-1.6179661243407057,-1.7100203880827793,-1.6397795471990768,-1.5732184456302702,-1.572663643978167,-1.591705874664578,-1.7846538908589071,-1.5768010146721476,-1.6523835792743156,-1.5873170787796949,-1.4386607432998078,-1.6105979502098893,-1.4730357425278344,-1.6526489524964696,-1.4453627892605347,-1.6129849110971888,-1.569259125957073,-1.783235552714522,-1.5543499551653666,-1.3546632145095785,-1.8525679831424706,-1.5008585516081259,-1.584844177203848,-1.567882184681781,-1.7430002733201122,-1.7004467319074805,-1.6050087669805777,-1.68891032599079,-1.5976887420733858,-1.5969783024794828,-1.666418293240508,-1.6382408170886098,-1.8342883808138706,-1.5798483245740031,-1.7101021794545772,-1.6964255918586477,-1.6705474209652713,-1.5202128361273182,-1.5809718735974447,-1.5939977320051635,-1.7004129198935307,-1.8061009064205344,-1.7045736758037997,-1.6567988634029227,-1.8803251773028071,-1.563010017927361,-1.6465931995748377,-1.7851697651761969,-1.6191023876178237,-1.5173589737532067,-1.5007226787898897,-1.5834091282476435,-1.6386895347250119,-1.6721819278446248,-1.7565939955890313,-1.533066345598584,-1.560358461454504,-1.602166448508034,-1.3635387269033434,-1.4840665891774074,-1.521541386554656,-1.4510760996340326,-1.600443085546279,-1.575923634776446,-1.7132214760092457,-1.7289953959869506,-1.5524021530447618,-1.684297843024092,-1.5749149779195433,-1.7813272385107448,-1.6297236409592932,-1.7320940683246187,-1.5655493054316565
2,-1.4778664124938894,-1.6230117621952904,-1.6864295797233122,-1.5880482489441368,-1.5464502840211984,-1.4596032836660184,-1.4298992078369286,-1.4560351677601122,-1.2751967588044624,-1.4535296588707938,-1.3984371255882158,-1.4505157709335148,-1.508575001791118,-1.3397608768474896,-1.364805152623027,-1.2679588199756135,-1.6109096076235039,-1.341434608411823,-1.5400485316587744,-1.3793816518124165,-1.718985928703323,-1.641892808531536,-1.4822372200573237,-1.5669628493347278,-1.3460291956143675,-1.4862470771737435,-1.387746013849669,-1.6797647852472966,-1.4584433265843886,-1.5470025199902924,-1.3809669293912983,-1.6755403255262615,-1.5753464688889345,-1.4901961815565434,-1.514844701857079,-1.4721526549529373,-1.4279326916835495,-1.423277960586401,-1.4764485953467281,-1.3011271501699928,-1.3613468920583736,-1.6583685789024736,-1.5454497454561518,-1.3888640594581463,-1.4651733515596164,-1.5274351323322888,-1.4813886535779077,-1.4649848702343475,-1.3737807559732726,-1.3708138441781657,-1.6708057231108946,-1.5462782332610465,-1.507444584682156,-1.7015165901903249,-1.2919881642320665,-1.4338270536507165,-1.3085237889069041,-1.5190393454109996,-1.3968831468668816,-1.5562309893616626,-1.3427716079903131,-1.5106003257077798,-1.5511619010054787,-1.429873953513117,-1.3336487199969578,-1.5980926888695377,-1.326178182420607,-1.4033276470185918,-1.255711486463139,-1.4574879771488818,-1.4605977465297684,-1.480728174716634,-1.4166261763141963,-1.4933430639379754,-1.6294200272614547,-1.5579351641962824,-1.3132676214342318,-1.4119110075366856,-1.496017076653888,-1.5132285103621719,-1.6413592709428286,-1.6767241524928123,-1.5900070546674925,-1.7184680001433075,-1.5941338927323383,-1.481376259791578,-1.512219789493537,-1.2191354364601723,-1.51899629875991,-1.5284073765588613,-1.4874919790627952,-1.3009617091439127,-1.6683228906161547,-1.6979524664215626,-1.552347256051925,-1.454823626901019,-1.592105475169253,-1.6246349975536405,-1.6855427338318218,-1.5292443623332868
3,-1.478294136272772,-1.1897556377264926,-1.3796248670646365,-1.388185606883179,-1.5361180717547638,-1.4680250620207511,-1.3420858971702037,-1.37523144193452,-1.458262891812732,-1.2941445498389519,-1.4451068366730238,-1.3943947796469554,-1.3597821391718712,-1.5447386323130774,-1.2221996144404519,-1.442524844267829,-1.3209554040143998,-1.398970474221818,-1.3026699484320492,-1.381004346199548,-1.387464345781572,-1.3731761572097998,-1.4654791033300887,-1.2622338759439953,-1.3324764329572536,-1.2598129289812299,-1.4706946988025316,-1.5622068269445244,-1.3114370563739965,-1.3047826686269692,-1.2817788672325938,-1.327049062142553,-1.312327708820535,-1.2178665826995754,-1.1144073695099974,-1.141299759859688,-1.322171389066622,-1.2816163004651915,-1.2600055385757134,-1.4118700366906127,-1.257791157147544,-1.2426361645862756,-1.358062533375987,-1.3398519564133586,-1.569882084098889,-1.6289699994052742,-1.2926046837392833,-1.2055456643338198,-1.3348251050306446,-1.060193174332823,-1.3079048980798134,-1.4291643527643658,-1.4087572092844924,-1.4495619609396861,-1.406390620411694,-1.2991154813656907,-1.423876357472834,-1.4192707581219053,-1.3753644706065566,-1.3469766864055235,-1.370248433616297,-1.1962533416673624,-1.1426764928841813,-1.149745090333656,-1.3956198392326482,-1.2254467278044394,-1.389001503840982,-1.2512261770309248,-1.3569653506584929,-1.4986123162462632,-1.2717603855718007,-1.4990166839727057,-1.4118870093994407,-1.6249276622466988,-1.1348733809936826,-1.388246564133039,-1.3357425610974383,-1.406691649147723,-1.1047448985827792,-1.1196929164886713,-1.389752736506118,-1.175882933069027,-1.540631161662071,-1.5955553676146403,-1.3348541173024455,-1.4096074215025054,-1.293982161509153,-1.3701843740559498,-1.395556750617049,-1.3304925740385072,-1.1288286504651335,-1.446091555993473,-1.3885560057198332,-1.283351870591868,-1.3018602334517007,-1.370588752323011,-1.3620239759328896,-1.3301284891037255,-1.1990003852934032,-1.4428912345524136
4,-1.4396151644045174,-1.1554204753523605,-1.1050785865588746,-1.1452608064305503,-1.0352377510717785,-1.161112585033039,-1.2019985789958898,-1.3080353180568534,-1.2114266981359005,-1.0742039597913713,-1.2809705196730063,-1.1336256256015536,-1.126994636242328,-1.1534803415505541,-1.0816551461490362,-1.261246683746089,-1.199912722300987,-1.282829175609534,-1.1101246704322505,-1.2089059450412953,-1.1304303866072434,-1.218958667270387,-1.1609820007308675,-1.1630408895802733,-1.1936295656937557,-1.3594980762978333,-1.0128825551786294,-1.2864739718540126,-1.212927818694248,-1.210909988327954,-1.2145788452078092,-1.2088736665977826,-1.0525196644052917,-1.295900964930797,-1.1945880559710398,-1.0715400380399942,-1.3022279859951773,-1.2944290118972628,-1.025122497184901,-1.070155300337693,-1.1261814276171576,-1.2525504883319853,-1.2008759457842157,-1.1700072961411425,-1.1497007636204064,-1.0826701155329093,-1.201391014869537,-1.1411490125219859,-1.143292823217781,-1.2467178073257448,-1.0381058170442425,-1.0546410649104958,-1.2986942558029058,-1.2880832636973207,-1.1803590557461345,-1.087872317744217,-1.3596606357383114,-1.2162461086076188,-1.0401701636378078,-0.9316326778581743,-1.3395730411369622,-1.1784466645322809,-1.1428143047700943,-1.2424226746581977,-1.3478382840510679,-1.0744215346324117,-1.255943026106881,-1.2301906330434096,-1.1453506590374087,-1.0858183858720365,-1.0496085148760772,-1.2297859726825928,-1.3180728856605777,-1.0725109508720303,-1.117865508661192,-0.9589566706374202,-1.1317544072532089,-1.1592401819181366,-1.2050433538558296,-1.0183024773348788,-1.127923049900332,-1.3399075468628996,-1.347659106335757,-1.1139900011647064,-1.180304083881753,-1.1698282991773346,-1.2355370368589889,-1.3192134418059134,-0.9144278469009086,-1.376795128867753,-1.1747585592848544,-1.3979906937796314,-1.588991607408492,-1.1919083414181642,-1.107604560444163,-1.0326890735673897,-1.3138526502006618,-1.0770700053950797,-1.3329620661029553,-0.9803319960937065
5,-1.1205591620243183,-1.1775434367212536,-1.2140010051667556,-0.9001030639969188,-1.1155621328223315,-1.1169887904950966,-1.0800518776068269,-1.0070447873105486,-0.5725446700768074,-0.9400977491444883,-1.221202431898145,-1.0436830752738548,-0.9634992773169058,-1.2213967760912894,-1.1516671979134185,-1.1469142590038137,-1.0550330182694203,-1.0793086026482348,-1.0184354826734068,-0.8528289232376225,-1.235486050815246,-0.7776359932622204,-1.2062217769651662,-0.8881227960195484,-1.0625852292452564,-1.1545927046796838,-1.2002227620892678,-1.1835608787447314,-1.1465789419172927,-0.901129790069039,-1.029307006727199,-1.0757005649095241,-0.9607497066137634,-1.0421746847779758,-1.27567821640238,-1.129964537688664,-1.0137818044511862,-0.856091439419115,-1.0944639650676617,-1.2306854182357112,-1.2594726025460738,-0.8797483986459026,-1.1663079944299786,-1.1774376870715568,-0.8884127800307805,-1.2331292526138358,-1.1422465637543084,-1.1243211802177566,-1.2168774706222314,-0.7410804811806492,-1.1081083956428524,-1.0655485702447647,-1.1221146566959526,-1.082280572268761,-0.9615071119371634,-1.0178962690723112,-1.0145571795048358,-1.0169203669905944,-1.1475163611080987,-1.2476402649287388,-1.1232249360270907,-1.029354992616622,-1.133182022668949,-1.0748360883364092,-1.2306739904037554,-1.2199900255183327,-1.1411850100688763,-1.0740956656995178,-1.0946566987690562,-1.057106054399757,-1.1529437331602952,-0.958160902899169,-1.0472462533856934,-0.9097216628255315,-1.0689443075622953,-1.0186284480355716,-1.1467648033015125,-0.9441137614203563,-1.1641923664223257,-1.362391024677324,-0.9578529801962633,-0.892972485122062,-0.887623630636214,-1.0738964457268012,-0.933957595556611,-1.196149322757683,-1.059042306398584,-1.3802189075745188,-1.3336544637154744,-1.2212702635245039,-1.1893968672530681,-0.9549892355616192,-0.7506263110752587,-0.9227872259786027,-1.0186132860223267,-1.2241680829497463,-1.0298349505384583,-1.2755483061157658,-0.9822452199919306,-1.3588789998435225
6,-1.0532844523621243,-1.0751941154129603,-0.8567905404379093,-0.5848928077407933,-1.1192990946523886,-1.0206240906170314,-0.9124279776260804,-0.7769545394856546,-0.7627481983936423,-0.6999746786211669,-1.1147380588654274,-0.8133490178039532,-1.1743598099389676,-0.917217983075276,-1.1733834304584558,-0.8750774170902643,-0.8036114346227482,-0.9582118922204749,-0.7228615668567153,-1.068284524008484,-1.0022990487137604,-1.2068771067304052,-1.0773098411285271,-0.9661291543097429,-1.104736226050075,-1.0875940686393435,-1.09235621011658,-0.8990824710123289,-0.8371630363543736,-0.7073079781605309,-0.9197270051218734,-0.7097042753484686,-1.263288778755411,-0.8839076571202379,-0.9659579420167084,-0.825539719612666,-1.1102327178837301,-0.7845475275042989,-0.8222731253459906,-0.9503845453938422,-1.112064385641704,-0.8632809039531728,-0.5912045234844875,-0.9869315039767946,-0.8937160517135444,-0.792545386854311,-1.0913852988681425,-0.8698921367151385,-1.1451016982624458,-1.1910084054754095,-0.915516412039306,-0.7044929863728222,-0.9265557290248889,-0.7757227163159772,-1.0172472608199037,-1.1816905569439045,-0.8760552858845183,-1.015508742126233,-0.9488536874015681,-0.7761047001593511,-0.725697097660699,-0.725982451665444,-0.8982866618990336,-0.8982443870828297,-1.0249993023450494,-0.7198567555385615,-0.6925834508155553,-0.7615183000788924,-1.0642300733180587,-1.048682653926242,-0.8376308019871318,-0.7120940074990652,-0.8629004510246052,-0.5100111813654771,-1.0497332081229507,-0.9714175846380536,-0.9187491895105832,-0.8479605907299748,-0.9941686315381203,-0.9160775989490159,-0.9220693833852918,-0.8675938189000791,-0.8333056717295239,-0.7489854601698266,-0.8649513390160362,-0.9095582370886024,-0.6997711342069836,-0.9797881625333889,-1.14063173402869,-0.829237255802583,-0.738013541561176,-0.761598381268347,-0.9643464624007144,-0.9829119193991791,-0.8047246930298133,-0.8238095656655401,-1.1264031603842362,-1.0045759564466188,-0.951501786625702,-0.939671292982292
7,-0.7301955511821495,-0.7912539985124298,-0.7041662839858044,-0.6837132394620545,-0.7812130802788632,-0.7147925936495089,-0.6326273064623639,-0.7495633199610864,-0.711900540979519,-1.1495200523927607,-0.7156851807973685,-0.5451081362357725,-0.9752462236193173,-0.835773984690812,-0.7198871915416148,-0.9176278688381065,-0.8529750366065796,-0.6138618445529239,-0.7660546719760856,-0.5810934836494046,-0.7795359385256209,-0.8792673994784327,-0.8080279230838464,-0.6713980844871255,-0.8616333105763304,-0.7904065855794856,-0.7695922208564292,-0.8000034784537705,-0.7767430246665249,-0.9019978171403542,-0.6561865498795507,-0.755924740864528,-0.8178156623815245,-1.0371221253939158,-0.823523916430049,-0.8951480904364245,-0.9354289504026272,-0.7669668242149836,-0.9156895178829181,-0.774872192321802,-0.5443537587757531,-0.6302967428118881,-0.8598508119845385,-0.6027812771142069,-0.9206454962901237,-0.9038321696099919,-0.867687458415574,-1.155677629673691,-0.8338585989982212,-0.5913898631824525,-0.5849116497766089,-0.832706466348585,-0.8693095107309723,-0.7689488515003093,-0.2854941783389083,-0.73477087522236,-0.695714157788676,-0.9085562786893081,-0.8106305951710419,-0.6888489346631606,-0.7467545915149251,-0.8290903986424617,-0.5952597610575813,-0.8719270570560336,-0.6519255414686589,-0.8062632726487042,-1.0161984736609389,-0.7487709256549959,-0.7871091057609316,-0.949378213972116,-0.9841744340022927,-0.5363679137718346,-0.6865460137029678,-0.8970525960488583,-0.9634901137893123,-0.8364350074942702,-0.7067733163208195,-0.7027522787911733,-0.7431047460415927,-0.8392304673450987,-0.7555577279018837,-0.99262848152486,-0.7865230003113767,-0.8079774724724677,-0.9911146099956263,-0.7149820507753907,-0.8541257313460557,-0.9264163987718123,-0.7538471603595502,-0.7632823159676603,-0.7258526951687091,-0.9100841663876641,-0.9460460203745877,-0.5665331733219755,-0.8376958732263851,-0.7362013782556398,-0.8411270928151988,-0.5081930481079437,-0.709160477657376,-0.7622325035121141
8,-0.3907025007747197,-0.5291595498397181,-0.5076720779016313,-0.8351820499538313,-0.442082424647947,-0.6391301021708283,-0.7135079720164091,-0.7197845503543612,-0.49522280633336635,-0.7631668679724426,-0.5648161188732723,-0.6251514966223407,-0.6288866735945844,-0.5192614285207581,-0.25152738159901594,-0.8728705724009033,-0.6443566664668235,-0.46538143518736846,-0.6569518418824096,-0.6193892921021593,-0.5408973707690101,-0.6967507065834334,-0.5375052355357367,-0.8444203803213378,-0.4452663605143714,-0.7156618136991397,-0.6962162588718357,-0.6416035097862116,-0.8351906918065847,-0.6110095613274681,-0.9477265312636233,-0.6701878912590822,-0.6050377747378396,-0.4636895673768795,-0.8730015472126647,-0.5687099074363398,-0.6909278724189107,-1.0288035124618093,-0.8838463073055368,-0.5895252102077478,-0.7563443068669472,-0.9190651128905278,-0.7898296989900984,-0.6930156632855347,-0.8002020649750395,-0.6393139626722827,-0.7393370538596478,-0.6066455784668305,-0.36071323041927483,-1.1453869199688687,-0.7191795068481439,-0.41344518327431623,-0.44832790258136646,-0.7866225667852588,-0.6120833699664951,-0.44783176357971266,-0.4371624278074863,-0.7660471483935947,-0.6821554806053066,-0.5368579341513028,-0.472736233941472,-0.37166145426040004,-0.8525337414046872,-0.5822614267304014,-0.7950205935012014,-0.9686485264443951,-0.5350069820802077,-0.6913306178712991,-0.6317767399336609,-0.7976440308305376,-0.6514092349529165,-0.6809117360620704,-0.4136110188001037,-0.42841625024604346,-0.35332849422566387,-0.5627029000264414,-0.8703355335036819,-0.928421533896605,-0.5595545310706119,-0.4247960324303233,-0.9063609307525182,-0.8976933663884985,-0.7753827130526215,-0.7906763439219744,-0.5772120898307973,-0.7147693753161604,-0.4741864351791118,-0.7680202425934507,-0.9619865521958967,-0.49669961054630574,-0.6338209872376767,-0.5722609474953272,-0.5172565419638758,-0.5065335072046794,-0.861729898051254,-0.8130995319301726,-0.8060509124687476,-0.32509870206886315,-0.7069648699991433,-0.4285944685010733
9,-0.12201262530441669,-0.09546055720276105,-0.6138849140231686,-0.6534990528053386,-0.6148723072104645,-0.3915703614349941,-0.7851635967969239,-0.7469677845758379,-0.4394323177245195,-0.38173233323994243,-0.6059827593839854,-0.3772905415129687,-0.5041933228652488,-0.27123830868082394,-0.6386736733086474,-0.4735932891777039,-0.7133702637781142,-0.4725450454200436,-0.7627448000242708,-0.4118697570983223,-0.00993167775813453,-0.6222896769886188,-0.29324602890031287,-0.426671708194439,-0.5853411098572199,-0.2329279152972479,-0.2927685140830362,-0.22337713942669396,-0.29732526295295264,-0.6023264222592747,-0.7239138794829052,-0.29358728494264213,-0.661811853164704,-0.2172373869622927,-0.703232677820165,-0.5672097561148292,-0.3822553385098802,-0.3055897997470048,-0.40059652214741454,-0.529795827309546,-0.4684100160156786,-0.8516362038994906,-0.3433819369137674,-0.3278116006019591,-0.4130623103744167,-0.447936154221931,-0.3970239853980222,-0.5196426334777091,-0.48809886886070647,-0.41360359113875894,-0.41776454572885297,-0.703823246886668,-0.37301910114189857,-0.32853116494064416,-0.9419170655561245,-0.43878320694140116,-0.7656857405187797,-0.05558741109959384,-0.5829915853868818,-0.26195824807477136,-0.23044931679221314,-0.2087401651677432,-0.7578802319270507,-0.6116665041625183,-0.2721827090229811,-0.33918776587357663,-0.5370276772221305,-0.5285872293503345,-0.5047084573663487,-0.34774579091771507,-0.48755073187077547,-0.4264556809100809,-0.5805366103421274,-0.37540769415395425,-0.2830593633905402,-0.34583621115062846,-0.8774661018632413,-0.5726502923966768,-0.5883914539402775,-0.8012614464287383,-0.45245725492556854,-0.2778227428921172,-0.22349736276692025,-0.5148164941313277,-0.4577164338078159,-0.08796012462614188,-0.3442937877453643,-0.5292629221552135,-0.39078246717376963,-0.5863558340706109,-0.7103450538720021,-0.7130279327181245,-0.661383434240577,-0.5087093578169868,-0.6377777560608364,-0.6508675042692648,-0.3592897804948568,-0.7022426851826288,-0.3068887955950047,-0.4477283811247914
10,-0.3316013937704302,-0.04738935094925202,-0.28733545398803756,-0.4238825377561684,-0.22310421037911704,-0.2092864952967378,-0.6540875070961347,-0.22905534955623016,-0.36664346789282826,-0.5654328783782979,-0.3653798258125403,-0.5438926465697764,-0.4555066426829151,-0.27371997070353754,-0.5163394475535159,-0.2623762020440927,-0.09175962334721917,0.07469143720285976,-0.26014301164614,-0.37934108413406126,-0.4345654799642399,-0.19172325551884073,0.02584469125909242,-0.5720559496957934,-0.6298408194788906,-0.211447138618017,-0.3722927029634705,-0.18430587205311358,-0.35423964817404385,-0.19133143937166183,-0.44202238942494515,-0.07993298121121971,-0.46789643234011186,0.049674637636667955,-0.38035528095888077,-0.41001069409302393,-0.5066544742726783,-0.561941849895474,-0.6124580535460427,-0.1944736237116041,-0.4641985506407012,-0.48556742446112333,-0.49377701073061514,-0.39260875928344774,-0.07038552834985859,-0.29792127641774696,-0.44947593477073616,-0.281338127424148,-0.4848514712318202,-0.3132426847122223,-0.3862009174236705,-0.686497690507586,-0.35534589728435534,-0.4730310671544955,-0.24293239084430512,-0.45284957945930815,-0.3307034108145175,-0.4234961240728406,-0.31060478872251335,-0.1784403129871939,-0.5097746538342328,-0.6772334352144929,-0.25810303781740834,-0.398162817186425,-0.02006270140899912,-0.34579497848664503,-0.5052301867292269,-0.40466023292535175,-0.19760221241066855,-0.30568134665316005,-0.5452782566275178,-0.2487861868602012,-0.3343886125202299,-0.7219664665692015,-0.33026635356291345,-0.23162392271423995,-0.4465892386014762,-0.7588817270003353,-0.3386117848350659,-0.24890218729745925,-0.22065232703325366,-0.21793296824913316,-0.7768834003636562,-0.06394682005351489,-0.31310498416538435,-0.14706006796427892,-0.45270767681009366,-0.20373311776431255,-0.23084951282838767,-0.07361268154696653,-0.22075441462001938,-0.0756503201992819,-0.21737831387254078,-0.43011697641316865,-0.2718138268032906,-0.4548403724600234,-0.10748262306361521,-0.2136053220941497,-0.49125718475308533,-0.31241618498107987
