feature,importance
pop_100m,0.1837299
pop_total,0.17605996
pop_300m,0.07512762
pop_500m,0.07149521
viviendas_100m,0.07050543
is_outlier,0.038115263
viviendas_comp,0.03651043
viviendas_pobreza,0.035041437
lon,0.028590905
pop_comp_100m,0.026411405
store_cat_express,0.023830283
commerces,0.022703141
socio_level,0.022189869
gas_stations,0.022012929
competencia,0.021085681
oficinas_100m,0.020966921
tiendas_peq,0.020782495
oficinas_comp,0.019622806
foot_traffic,0.018847056
car_traffic,0.018187836
lat,0.017853295
pop_comp_total,0.016338825
pop_comp_500m,0.013991272
malls,0.0
Tienda_Tienda_1,0.0
Tienda_Tienda_10,0.0
Tienda_Tienda_100,0.0
Tienda_Tienda_11,0.0
Tienda_Tienda_12,0.0
Tienda_Tienda_13,0.0
Tienda_Tienda_14,0.0
pop_comp_300m,0.0
Tienda_Tienda_16,0.0
Tienda_Tienda_17,0.0
Tienda_Tienda_18,0.0
Tienda_Tienda_19,0.0
Tienda_Tienda_2,0.0
Tienda_Tienda_20,0.0
Tienda_Tienda_21,0.0
Tienda_Tienda_22,0.0
Tienda_Tienda_23,0.0
Tienda_Tienda_24,0.0
Tienda_Tienda_25,0.0
Tienda_Tienda_26,0.0
Tienda_Tienda_27,0.0
Tienda_Tienda_28,0.0
Tienda_Tienda_29,0.0
Tienda_Tienda_3,0.0
Tienda_Tienda_30,0.0
Tienda_Tienda_31,0.0
Tienda_Tienda_32,0.0
Tienda_Tienda_33,0.0
Tienda_Tienda_34,0.0
Tienda_Tienda_35,0.0
Tienda_Tienda_36,0.0
Tienda_Tienda_37,0.0
Tienda_Tienda_38,0.0
Tienda_Tienda_39,0.0
Tienda_Tienda_4,0.0
Tienda_Tienda_40,0.0
Tienda_Tienda_41,0.0
Tienda_Tienda_42,0.0
Tienda_Tienda_43,0.0
Tienda_Tienda_15,0.0
Tienda_Tienda_44,0.0
Tienda_Tienda_45,0.0
Tienda_Tienda_47,0.0
Tienda_Tienda_46,0.0
Tienda_Tienda_49,0.0
Tienda_Tienda_5,0.0
Tienda_Tienda_50,0.0
Tienda_Tienda_48,0.0
Tienda_Tienda_52,0.0
Tienda_Tienda_53,0.0
Tienda_Tienda_54,0.0
Tienda_Tienda_55,0.0
Tienda_Tienda_56,0.0
Tienda_Tienda_57,0.0
Tienda_Tienda_58,0.0
Tienda_Tienda_51,0.0
Tienda_Tienda_6,0.0
Tienda_Tienda_60,0.0
Tienda_Tienda_61,0.0
Tienda_Tienda_62,0.0
Tienda_Tienda_63,0.0
Tienda_Tienda_64,0.0
Tienda_Tienda_65,0.0
Tienda_Tienda_66,0.0
Tienda_Tienda_67,0.0
Tienda_Tienda_68,0.0
Tienda_Tienda_69,0.0
Tienda_Tienda_7,0.0
Tienda_Tienda_70,0.0
Tienda_Tienda_71,0.0
Tienda_Tienda_72,0.0
Tienda_Tienda_59,0.0
Tienda_Tienda_73,0.0
Tienda_Tienda_74,0.0
Tienda_Tienda_76,0.0
Tienda_Tienda_75,0.0
Tienda_Tienda_78,0.0
Tienda_Tienda_79,0.0
Tienda_Tienda_8,0.0
Tienda_Tienda_77,0.0
Tienda_Tienda_81,0.0
Tienda_Tienda_82,0.0
Tienda_Tienda_83,0.0
Tienda_Tienda_84,0.0
Tienda_Tienda_85,0.0
Tienda_Tienda_86,0.0
Tienda_Tienda_87,0.0
Tienda_Tienda_80,0.0
Tienda_Tienda_88,0.0
Tienda_Tienda_89,0.0
Tienda_Tienda_90,0.0
Tienda_Tienda_9,0.0
Tienda_Tienda_92,0.0
Tienda_Tienda_93,0.0
Tienda_Tienda_94,0.0
Tienda_Tienda_91,0.0
Tienda_Tienda_95,0.0
Tienda_Tienda_96,0.0
Tienda_Tienda_98,0.0
Tienda_Tienda_97,0.0
Tienda_Tienda_99,0.0
store_cat_hiper,0.0
store_cat_mini,0.0
store_cat_super,0.0
